id,description,family,length,file
PX480426.1,"PX480426.1 Dengue virus type 3 isolate D19-2136, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480425.1,"PX480425.1 Dengue virus type 3 isolate D19-2134, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480424.1,"PX480424.1 Dengue virus type 3 isolate D19-2115, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480423.1,"PX480423.1 Dengue virus type 3 isolate D19-2082, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480422.1,"PX480422.1 Dengue virus type 3 isolate D19-2055, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480421.1,"PX480421.1 Dengue virus type 3 isolate D19-2053, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480420.1,"PX480420.1 Dengue virus type 3 isolate D19-2042, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480419.1,"PX480419.1 Dengue virus type 3 isolate D19-2037, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480418.1,"PX480418.1 Dengue virus type 3 isolate D19-2035, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480417.1,"PX480417.1 Dengue virus type 3 isolate D19-1990, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480416.1,"PX480416.1 Dengue virus type 3 isolate D19-1983, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480415.1,"PX480415.1 Dengue virus type 3 isolate D19-1974, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480414.1,"PX480414.1 Dengue virus type 3 isolate D19-1964, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480413.1,"PX480413.1 Dengue virus type 3 isolate D19-1963, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480412.1,"PX480412.1 Dengue virus type 3 isolate D19-1951, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480411.1,"PX480411.1 Dengue virus type 3 isolate D19-1950, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480410.1,"PX480410.1 Dengue virus type 3 isolate D19-1898, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480409.1,"PX480409.1 Dengue virus type 3 isolate D19-1897, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480408.1,"PX480408.1 Dengue virus type 3 isolate D19-1896, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480407.1,"PX480407.1 Dengue virus type 3 isolate D19-1871, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480406.1,"PX480406.1 Dengue virus type 3 isolate D19-1861, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480405.1,"PX480405.1 Dengue virus type 3 isolate D19-1831, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480404.1,"PX480404.1 Dengue virus type 3 isolate D19-1530, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480403.1,"PX480403.1 Dengue virus type 3 isolate D19-1287, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480402.1,"PX480402.1 Dengue virus type 3 isolate D19-1103, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480401.1,"PX480401.1 Dengue virus type 3 isolate D19-1094, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480400.1,"PX480400.1 Dengue virus type 3 isolate D19-0559, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480399.1,"PX480399.1 Dengue virus type 3 isolate D19-0558, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480398.1,"PX480398.1 Dengue virus type 3 isolate D19-0447, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480397.1,"PX480397.1 Dengue virus type 3 isolate D19-0337, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480396.1,"PX480396.1 Dengue virus type 3 isolate D19-0332, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480395.1,"PX480395.1 Dengue virus type 3 isolate D19-0142, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480394.1,"PX480394.1 Dengue virus type 3 isolate D19-0141, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480393.1,"PX480393.1 Dengue virus type 3 isolate D19-0140, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480392.1,"PX480392.1 Dengue virus type 3 isolate D19-0113, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480391.1,"PX480391.1 Dengue virus type 3 isolate D19-0021, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480390.1,"PX480390.1 Dengue virus type 3 isolate D18-3368, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480389.1,"PX480389.1 Dengue virus type 3 isolate D18-3322, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480388.1,"PX480388.1 Dengue virus type 3 isolate D18-3282, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480387.1,"PX480387.1 Dengue virus type 3 isolate D18-3077, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480386.1,"PX480386.1 Dengue virus type 3 isolate D18-3076, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480385.1,"PX480385.1 Dengue virus type 3 isolate D18-2954, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480384.1,"PX480384.1 Dengue virus type 3 isolate D18-2897, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480383.1,"PX480383.1 Dengue virus type 3 isolate D18-2883, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480382.1,"PX480382.1 Dengue virus type 3 isolate D18-2841, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480381.1,"PX480381.1 Dengue virus type 3 isolate D18-2787, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480380.1,"PX480380.1 Dengue virus type 3 isolate D18-2582, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480379.1,"PX480379.1 Dengue virus type 3 isolate D18-2531, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480378.1,"PX480378.1 Dengue virus type 3 isolate D18-2384, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480377.1,"PX480377.1 Dengue virus type 3 isolate D18-2300, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480376.1,"PX480376.1 Dengue virus type 3 isolate D18-2291, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480375.1,"PX480375.1 Dengue virus type 3 isolate D18-2287, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480374.1,"PX480374.1 Dengue virus type 3 isolate D18-2001, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480373.1,"PX480373.1 Dengue virus type 3 isolate D18-1999, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480372.1,"PX480372.1 Dengue virus type 3 isolate D18-1993, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480371.1,"PX480371.1 Dengue virus type 3 isolate D18-1991, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480370.1,"PX480370.1 Dengue virus type 3 isolate D18-1986, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480369.1,"PX480369.1 Dengue virus type 3 isolate D18-1932, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480368.1,"PX480368.1 Dengue virus type 3 isolate D18-1697, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480367.1,"PX480367.1 Dengue virus type 3 isolate D18-1684, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480366.1,"PX480366.1 Dengue virus type 3 isolate D18-1658, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480365.1,"PX480365.1 Dengue virus type 3 isolate D18-1380, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480364.1,"PX480364.1 Dengue virus type 3 isolate D18-1361, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480363.1,"PX480363.1 Dengue virus type 3 isolate D18-1342, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480362.1,"PX480362.1 Dengue virus type 3 isolate D18-1315, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480361.1,"PX480361.1 Dengue virus type 3 isolate D18-1202, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480360.1,"PX480360.1 Dengue virus type 3 isolate D18-0989, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480359.1,"PX480359.1 Dengue virus type 3 isolate D18-0978, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480358.1,"PX480358.1 Dengue virus type 3 isolate D18-0822, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480357.1,"PX480357.1 Dengue virus type 3 isolate D18-0775, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480356.1,"PX480356.1 Dengue virus type 3 isolate D18-0515, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480355.1,"PX480355.1 Dengue virus type 3 isolate D18-0457, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480354.1,"PX480354.1 Dengue virus type 3 isolate D18-0403, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480353.1,"PX480353.1 Dengue virus type 3 isolate D18-0361, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480352.1,"PX480352.1 Dengue virus type 3 isolate D18-0200, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480351.1,"PX480351.1 Dengue virus type 3 isolate D18-0169, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480350.1,"PX480350.1 Dengue virus type 3 isolate D18-0064, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480349.1,"PX480349.1 Dengue virus type 3 isolate D18-0052, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480348.1,"PX480348.1 Dengue virus type 3 isolate D18-0030, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480347.1,"PX480347.1 Dengue virus type 3 isolate D17-3024, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480346.1,"PX480346.1 Dengue virus type 3 isolate D17-2265, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480345.1,"PX480345.1 Dengue virus type 3 isolate D17-2232, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480344.1,"PX480344.1 Dengue virus type 3 isolate D17-1911, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480343.1,"PX480343.1 Dengue virus type 3 isolate D17-1829, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480342.1,"PX480342.1 Dengue virus type 3 isolate D17-1799, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480341.1,"PX480341.1 Dengue virus type 3 isolate D17-1790, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480340.1,"PX480340.1 Dengue virus type 3 isolate D17-1642, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480339.1,"PX480339.1 Dengue virus type 3 isolate D17-1464, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480338.1,"PX480338.1 Dengue virus type 3 isolate D17-1165, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480337.1,"PX480337.1 Dengue virus type 3 isolate D17-0764, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480336.1,"PX480336.1 Dengue virus type 3 isolate D17-0554, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480335.1,"PX480335.1 Dengue virus type 3 isolate D17-0445, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480334.1,"PX480334.1 Dengue virus type 3 isolate D17-0442, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480333.1,"PX480333.1 Dengue virus type 3 isolate D17-0131, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480332.1,"PX480332.1 Dengue virus type 3 isolate D17-0125, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480331.1,"PX480331.1 Dengue virus type 2 isolate D21-0290, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480330.1,"PX480330.1 Dengue virus type 2 isolate D19-2681, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480329.1,"PX480329.1 Dengue virus type 2 isolate D19-2668, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480328.1,"PX480328.1 Dengue virus type 2 isolate D19-2620, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480327.1,"PX480327.1 Dengue virus type 2 isolate D19-2610, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480326.1,"PX480326.1 Dengue virus type 2 isolate D19-2563, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480325.1,"PX480325.1 Dengue virus type 2 isolate D19-2535, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480324.1,"PX480324.1 Dengue virus type 2 isolate D19-2446, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480323.1,"PX480323.1 Dengue virus type 2 isolate D19-2445, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480322.1,"PX480322.1 Dengue virus type 2 isolate D19-2324, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480321.1,"PX480321.1 Dengue virus type 2 isolate D19-2249, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480320.1,"PX480320.1 Dengue virus type 2 isolate D19-2061, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480319.1,"PX480319.1 Dengue virus type 2 isolate D19-2044, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480318.1,"PX480318.1 Dengue virus type 2 isolate D19-1820, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480317.1,"PX480317.1 Dengue virus type 2 isolate D19-1678, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480316.1,"PX480316.1 Dengue virus type 2 isolate D19-1576, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480315.1,"PX480315.1 Dengue virus type 2 isolate D19-1559, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480314.1,"PX480314.1 Dengue virus type 2 isolate D19-1472, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480313.1,"PX480313.1 Dengue virus type 2 isolate D19-1325, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480312.1,"PX480312.1 Dengue virus type 2 isolate D18-3349, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480311.1,"PX480311.1 Dengue virus type 2 isolate D18-3201, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480310.1,"PX480310.1 Dengue virus type 2 isolate D18-2646, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480309.1,"PX480309.1 Dengue virus type 2 isolate D18-2292, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480308.1,"PX480308.1 Dengue virus type 2 isolate D18-1974, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480307.1,"PX480307.1 Dengue virus type 2 isolate D18-1693, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480306.1,"PX480306.1 Dengue virus type 2 isolate D18-1676, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480305.1,"PX480305.1 Dengue virus type 2 isolate D18-1556, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480304.1,"PX480304.1 Dengue virus type 2 isolate D18-1377, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480303.1,"PX480303.1 Dengue virus type 2 isolate D18-1165, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480302.1,"PX480302.1 Dengue virus type 2 isolate D18-1111, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480301.1,"PX480301.1 Dengue virus type 2 isolate D18-0217, complete genome",Flaviviridae,10723,data/raw/flaviviridae.fasta
PX480300.1,"PX480300.1 Dengue virus type 1 isolate D21-0506, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480299.1,"PX480299.1 Dengue virus type 1 isolate D21-0358, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480298.1,"PX480298.1 Dengue virus type 1 isolate D20-0130, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480297.1,"PX480297.1 Dengue virus type 1 isolate D20-0106, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480296.1,"PX480296.1 Dengue virus type 1 isolate D19-2830, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480295.1,"PX480295.1 Dengue virus type 1 isolate D19-2715, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480294.1,"PX480294.1 Dengue virus type 1 isolate D19-2607, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480293.1,"PX480293.1 Dengue virus type 1 isolate D19-2489, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480292.1,"PX480292.1 Dengue virus type 1 isolate D19-2407, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480291.1,"PX480291.1 Dengue virus type 1 isolate D19-2373, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480290.1,"PX480290.1 Dengue virus type 1 isolate D19-2251, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480289.1,"PX480289.1 Dengue virus type 1 isolate D19-2205, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480288.1,"PX480288.1 Dengue virus type 1 isolate D19-2202, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480287.1,"PX480287.1 Dengue virus type 1 isolate D19-2197, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480286.1,"PX480286.1 Dengue virus type 1 isolate D19-2147, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480285.1,"PX480285.1 Dengue virus type 1 isolate D19-2141, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480284.1,"PX480284.1 Dengue virus type 1 isolate D19-2088, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480283.1,"PX480283.1 Dengue virus type 1 isolate D19-2056, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480282.1,"PX480282.1 Dengue virus type 1 isolate D19-2051, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480281.1,"PX480281.1 Dengue virus type 1 isolate D19-1995, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480280.1,"PX480280.1 Dengue virus type 1 isolate D19-1946, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480279.1,"PX480279.1 Dengue virus type 1 isolate D19-1894, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480278.1,"PX480278.1 Dengue virus type 1 isolate D19-1893, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480277.1,"PX480277.1 Dengue virus type 1 isolate D19-1865, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480276.1,"PX480276.1 Dengue virus type 1 isolate D19-1581, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480275.1,"PX480275.1 Dengue virus type 1 isolate D19-1320, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480274.1,"PX480274.1 Dengue virus type 1 isolate D19-1288, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480273.1,"PX480273.1 Dengue virus type 1 isolate D19-1283, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480272.1,"PX480272.1 Dengue virus type 1 isolate D19-1191, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480271.1,"PX480271.1 Dengue virus type 1 isolate D19-1187, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480270.1,"PX480270.1 Dengue virus type 1 isolate D18-3207, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480269.1,"PX480269.1 Dengue virus type 1 isolate D18-3093, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480268.1,"PX480268.1 Dengue virus type 1 isolate D18-2935, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480267.1,"PX480267.1 Dengue virus type 1 isolate D18-2893, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480266.1,"PX480266.1 Dengue virus type 1 isolate D18-2811, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480265.1,"PX480265.1 Dengue virus type 1 isolate D18-2277, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480264.1,"PX480264.1 Dengue virus type 1 isolate D18-2238, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480263.1,"PX480263.1 Dengue virus type 1 isolate D18-2054, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480262.1,"PX480262.1 Dengue virus type 1 isolate D18-2011, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480261.1,"PX480261.1 Dengue virus type 1 isolate D18-2000, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480260.1,"PX480260.1 Dengue virus type 1 isolate D18-1980, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480259.1,"PX480259.1 Dengue virus type 1 isolate D18-1602, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
PX480258.1,"PX480258.1 Dengue virus type 1 isolate D18-1530, complete genome",Flaviviridae,10735,data/raw/flaviviridae.fasta
